symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct
SOL/USDT,short,"(-1, np.float64(869.786187604086), np.float64(132.43350800000002))",2024-09-20 18:00:00+00:00,132.43,146.27,-91.74,-0.1045
ETH/USDT,short,"(-1, np.float64(854.7142646975146), np.float64(2542.361426))",2024-09-23 18:00:00+00:00,2542.36,2680.36,-47.25,-0.0543
SOL/USDT,long,"(1, np.float64(769.1402690964586), np.float64(146.269248))",2024-09-23 18:00:00+00:00,146.27,143.88,-13.33,-0.0163
ETH/USDT,long,"(1, np.float64(695.7665742739018), np.float64(2680.3559640000003))",2024-09-26 18:00:00+00:00,2680.36,2659.22,-6.18,-0.0079
BTC/USDT,short,"(-1, np.float64(773.1770651278267), np.float64(63420.673328000004))",2024-09-29 18:00:00+00:00,63420.67,65802.78,-29.81,-0.0376
SOL/USDT,long,"(1, np.float64(855.0054182929724), np.float64(156.751344))",2024-10-02 18:00:00+00:00,156.75,142.22,-80.11,-0.0927
BTC/USDT,long,"(1, np.float64(762.0741145358262), np.float64(60757.359042))",2024-10-08 18:00:00+00:00,60757.36,62102.16,16.11,0.0221
ETH/USDT,short,"(-1, np.float64(846.7209066026758), np.float64(2663.1672599999997))",2024-10-14 18:00:00+00:00,2663.17,2629.83,9.75,0.0125
BTC/USDT,short,"(-1, np.float64(764.1979844071598), np.float64(65756.256118))",2024-10-17 18:00:00+00:00,65756.26,66945.67,-14.59,-0.0181
SOL/USDT,long,"(1, np.float64(847.5114588909969), np.float64(142.938582))",2024-10-17 18:00:00+00:00,142.94,148.48,32.01,0.0388
BTC/USDT,long,"(1, np.float64(766.5536957809295), np.float64(66945.66645599999))",2024-10-23 18:00:00+00:00,66945.67,66045.86,-11.07,-0.0134
SOL/USDT,short,"(-1, np.float64(766.1341641601323), np.float64(148.480298))",2024-10-23 18:00:00+00:00,148.48,169.76,-110.59,-0.1433
SOL/USDT,long,"(1, np.float64(754.7222840307925), np.float64(169.76394599999998))",2024-11-01 18:00:00+00:00,169.76,166.13,-16.92,-0.0214
BTC/USDT,long,"(1, np.float64(753.5188892276358), np.float64(69163.67997))",2024-11-07 18:00:00+00:00,69163.68,76584.89,80.1,0.1073
ETH/USDT,short,"(-1, np.float64(838.6921449373606), np.float64(2490.731754))",2024-11-07 18:00:00+00:00,2490.73,2879.55,-131.76,-0.1561
BTC/USDT,short,"(-1, np.float64(749.0921081274664), np.float64(76584.88995800001))",2024-11-13 18:00:00+00:00,76584.89,92813.99,-159.49,-0.2119
SOL/USDT,long,"(1, np.float64(833.1188063869986), np.float64(196.869366))",2024-11-13 18:00:00+00:00,196.87,219.62,95.43,0.1155
SOL/USDT,short,"(-1, np.float64(743.9015589872276), np.float64(219.616068))",2024-11-16 18:00:00+00:00,219.62,216.5,9.8,0.0142
BTC/USDT,long,"(1, np.float64(743.5273674540523), np.float64(92813.98908599999))",2024-11-19 18:00:00+00:00,92813.99,93616.81,5.69,0.0086
